detection_datetime,transmitter_id,tagging_project_name,species_common_name,species_scientific_name,animal_sex,receiver_project_name,installation_name,station_name,receiver_name,receiver_deployment_longitude,receiver_deployment_latitude,transmitter_sensor_type,transmitter_type,transmitter_estimated_battery_life,transmitter_deployment_longitude,transmitter_deployment_latitude,transmitter_deployment_datetime
24/10/2022 21:52,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-101727,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
17/10/2022 4:06,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-101727,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
23/09/2022 0:29,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-101727,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
23/09/2022 0:27,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-101727,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
23/09/2022 0:26,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-101727,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
23/09/2022 0:24,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-101727,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
13/06/2022 21:00,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-102044,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
13/06/2022 20:57,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-102044,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
13/06/2022 5:43,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-102044,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
22/03/2022 4:15,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-102044,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
